Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
18:1-d9 SM,SM,TQC_2,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.72,1099,1295,1
18:1-d9 SM,SM,TQC_3,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.52,845,885,1
18:1-d9 SM,SM,TQC_4,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.72,786,1020,1
18:1-d9 SM,SM,TQC_5,738.64674,1,184.1,1,Ion [184.100549/184.100549],6.1,512,857,1
18:1-d9 SM,SM,TQC_6,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.52,799,894,1
18:1-d9 SM,SM,TQC_7,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.52,751,1206,1
18:1-d9 SM,SM,TQC_8,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.52,988,1308,1
18:1-d9 SM,SM,TQC_9,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.75,816,1046,1
18:1-d9 SM,SM,TQC_10,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.74,905,1114,1
18:1-d9 SM,SM,TQC_11,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.76,773,1964,1
18:1-d9 SM,SM,TQC_12,738.64674,1,184.1,1,Ion [184.100549/184.100549],4.52,1641,1306,1
SM 18:1/16:0,SM,S1A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,10180516,138064,1
SM 18:1/16:0,SM,S2A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.56,10209584,102266,1
SM 18:1/16:0,SM,S3A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.52,8578256,142427,1
SM 18:1/16:0,SM,S4A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,9112928,116722,1
SM 18:1/16:0,SM,S5A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,9750551,106790,1
SM 18:1/16:0,SM,S6A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,10279138,109115,1
SM 18:1/16:0,SM,S7A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,9335496,110908,1
SM 18:1/16:0,SM,S8A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.57,9122125,179776,1
SM 18:1/16:0,SM,S9A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,10076580,187196,1
SM 18:1/16:0,SM,S10A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,9722692,109664,1
SM 18:1/16:0,SM,S11A,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,9756538,115096,1
SM 18:1/16:0,SM,S1B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,7710739,83195,1
SM 18:1/16:0,SM,S2B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,8958359,123386,1
SM 18:1/16:0,SM,S3B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.51,7906180,132330,1
SM 18:1/16:0,SM,S4B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,8294348,108139,1
SM 18:1/16:0,SM,S5B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.56,9979062,97227,1
SM 18:1/16:0,SM,S6B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,7983859,82084,1
SM 18:1/16:0,SM,S7B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,7563131,149023,1
SM 18:1/16:0,SM,S8B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,7949059,157558,1
SM 18:1/16:0,SM,S9B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,7947329,129200,1
SM 18:1/16:0,SM,S10B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.56,8626500,74467,1
SM 18:1/16:0,SM,S11B,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,7538645,150087,1
SM 18:1/16:0,SM,S1C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,16875158,232756,1
SM 18:1/16:0,SM,S2C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.52,13852268,160375,1
SM 18:1/16:0,SM,S3C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,14854360,154329,1
SM 18:1/16:0,SM,S4C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,15019153,287969,1
SM 18:1/16:0,SM,S5C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,16411014,198314,1
SM 18:1/16:0,SM,S6C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,18110536,309863,1
SM 18:1/16:0,SM,S7C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,13575431,255569,1
SM 18:1/16:0,SM,S8C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,15574334,227987,1
SM 18:1/16:0,SM,S9C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,15715101,197475,1
SM 18:1/16:0,SM,S10C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.58,14229381,163673,1
SM 18:1/16:0,SM,S11C,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,17255634,309784,1
SM 18:1/16:0,SM,S1D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.56,11560999,190736,1
SM 18:1/16:0,SM,S2D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,11370648,115516,1
SM 18:1/16:0,SM,S3D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.54,15907409,261215,1
SM 18:1/16:0,SM,S4D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,14427916,173714,1
SM 18:1/16:0,SM,S5D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.53,18380290,250773,1
SM 18:1/16:0,SM,S6D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.56,13538283,170016,1
SM 18:1/16:0,SM,S7D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.55,14774387,213335,1
SM 18:1/16:0,SM,S8D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.52,15585717,139242,1
SM 18:1/16:0,SM,S9D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.56,13384735,168093,1
SM 18:1/16:0,SM,S10D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.52,11753249,154421,1
SM 18:1/16:0,SM,S11D,703.5,1,184.1,1,Ion [184.100549/184.100549],5.52,11511447,122568,1
SM 18:1/16:0,SM,Blank_1,703.5,1,184.1,1,Ion [184.100549/184.100549],5.21,2491,1834,1
SM 18:1/16:0,SM,Blank_2,703.5,1,184.1,1,Ion [184.100549/184.100549],5.57,472,664,1
SM 18:1/16:0,SM,TQC_1,703.5,1,184.1,1,Ion [184.100549/184.100549],5.51,12444926,228305,1
SM 18:1/16:0,SM,TQC_2,703.5,1,184.1,1,Ion [184.100549/184.100549],5.5,12494567,249896,1
