Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
PE 32:0,PE,TQC_8,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,14299,664,1
PE 32:0,PE,TQC_9,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,14016,842,1
PE 32:0,PE,TQC_10,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,14736,916,1
PE 32:0,PE,TQC_11,692.5,1,551.5,1,Ion [551.500549/551.500549],4.02,18405,1087,1
PE 32:0,PE,TQC_12,692.5,1,551.5,1,Ion [551.500549/551.500549],4.01,18760,1014,1
PE 32:1,PE,S1A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,11814,934,1
PE 32:1,PE,S2A,690.5,1,549.5,1,Ion [549.500549/549.500549],4.01,12774,616,1
PE 32:1,PE,S3A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,11583,823,1
PE 32:1,PE,S4A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,21800,1048,1
PE 32:1,PE,S5A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,14787,1055,1
PE 32:1,PE,S6A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,21027,1034,1
PE 32:1,PE,S7A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,17008,1056,1
PE 32:1,PE,S8A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,11133,768,1
PE 32:1,PE,S9A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,25511,798,1
PE 32:1,PE,S10A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,43005,628,1
PE 32:1,PE,S11A,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,36986,841,1
PE 32:1,PE,S1B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,9297,873,1
PE 32:1,PE,S2B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,13729,694,1
PE 32:1,PE,S3B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,14479,625,1
PE 32:1,PE,S4B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,25038,659,1
PE 32:1,PE,S5B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,22518,583,1
PE 32:1,PE,S6B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,10902,704,1
PE 32:1,PE,S7B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,21644,991,1
PE 32:1,PE,S8B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,45249,720,1
PE 32:1,PE,S9B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,44150,1184,1
PE 32:1,PE,S10B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,56266,1016,1
PE 32:1,PE,S11B,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,40978,1045,1
PE 32:1,PE,S1C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,4115,570,1
PE 32:1,PE,S2C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,4981,670,1
PE 32:1,PE,S3C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,6429,668,1
PE 32:1,PE,S4C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,7314,779,1
PE 32:1,PE,S5C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,4961,884,1
PE 32:1,PE,S6C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,6328,694,1
PE 32:1,PE,S7C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,8544,913,1
PE 32:1,PE,S8C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,5683,869,1
PE 32:1,PE,S9C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,5559,623,1
PE 32:1,PE,S10C,690.5,1,549.5,1,Ion [549.500549/549.500549],4.01,9006,699,1
PE 32:1,PE,S11C,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,11117,724,1
PE 32:1,PE,S1D,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,5397,686,1
PE 32:1,PE,S2D,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,16741,678,1
PE 32:1,PE,S3D,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,10123,873,1
PE 32:1,PE,S4D,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,8234,595,1
PE 32:1,PE,S5D,690.5,1,549.5,1,Ion [549.500549/549.500549],3.98,8967,646,1
PE 32:1,PE,S6D,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,9751,667,1
PE 32:1,PE,S7D,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,13725,830,1
PE 32:1,PE,S8D,690.5,1,549.5,1,Ion [549.500549/549.500549],3.99,9373,643,1
