Peptide,Protein,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Background,Peak Rank
18:1(d7) Lyso PC,LPC,S1A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1603849,3752,1
18:1(d7) Lyso PC,LPC,S2A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1581032,85698,1
18:1(d7) Lyso PC,LPC,S3A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.27,1600005,4991,1
18:1(d7) Lyso PC,LPC,S4A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.27,1695387,9004,1
18:1(d7) Lyso PC,LPC,S5A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1465645,69725,1
18:1(d7) Lyso PC,LPC,S6A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1636445,7403,1
18:1(d7) Lyso PC,LPC,S7A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1376774,82467,1
18:1(d7) Lyso PC,LPC,S8A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1767487,7282,1
18:1(d7) Lyso PC,LPC,S9A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1539081,6605,1
18:1(d7) Lyso PC,LPC,S10A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1840203,4798,1
18:1(d7) Lyso PC,LPC,S11A,529.398,1,184.1,1,Ion [184.100549/184.100549],6.26,1670646,11630,1
18:1(d7) Lyso PC,LPC,S1B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1408949,5380,1
18:1(d7) Lyso PC,LPC,S2B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.27,1634418,5211,1
18:1(d7) Lyso PC,LPC,S3B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.27,1879388,6189,1
18:1(d7) Lyso PC,LPC,S4B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1974894,6783,1
18:1(d7) Lyso PC,LPC,S5B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1535695,6232,1
18:1(d7) Lyso PC,LPC,S6B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1888508,6200,1
18:1(d7) Lyso PC,LPC,S7B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.26,1819749,6613,1
18:1(d7) Lyso PC,LPC,S8B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1746384,5778,1
18:1(d7) Lyso PC,LPC,S9B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.27,1763604,5684,1
18:1(d7) Lyso PC,LPC,S10B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1660647,6198,1
18:1(d7) Lyso PC,LPC,S11B,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1595085,5923,1
18:1(d7) Lyso PC,LPC,S1C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.27,1019896,5228,1
18:1(d7) Lyso PC,LPC,S2C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1233172,4020,1
18:1(d7) Lyso PC,LPC,S3C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1251974,28912,1
18:1(d7) Lyso PC,LPC,S4C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1259922,90638,1
18:1(d7) Lyso PC,LPC,S5C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1078267,6007,1
18:1(d7) Lyso PC,LPC,S6C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,993273,4843,1
18:1(d7) Lyso PC,LPC,S7C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1423639,6276,1
18:1(d7) Lyso PC,LPC,S8C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1228218,4136,1
18:1(d7) Lyso PC,LPC,S9C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1204068,6531,1
18:1(d7) Lyso PC,LPC,S10C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.3,1163541,6176,1
18:1(d7) Lyso PC,LPC,S11C,529.398,1,184.1,1,Ion [184.100549/184.100549],6.27,877594,41055,1
18:1(d7) Lyso PC,LPC,S1D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1522280,76829,1
18:1(d7) Lyso PC,LPC,S2D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1747300,5245,1
18:1(d7) Lyso PC,LPC,S3D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1151871,7266,1
18:1(d7) Lyso PC,LPC,S4D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1313185,6127,1
18:1(d7) Lyso PC,LPC,S5D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1316070,5230,1
18:1(d7) Lyso PC,LPC,S6D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,2447729,6634,1
18:1(d7) Lyso PC,LPC,S7D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1440231,6101,1
18:1(d7) Lyso PC,LPC,S8D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.29,1534797,6116,1
18:1(d7) Lyso PC,LPC,S9D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1604056,5168,1
18:1(d7) Lyso PC,LPC,S10D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1668310,6104,1
18:1(d7) Lyso PC,LPC,S11D,529.398,1,184.1,1,Ion [184.100549/184.100549],6.28,1689275,6181,1
18:1(d7) Lyso PC,LPC,Blank_1,529.398,1,184.1,1,Ion [184.100549/184.100549],5.98,163,1407,1
18:1(d7) Lyso PC,LPC,Blank_2,529.398,1,184.1,1,Ion [184.100549/184.100549],5.92,113,1048,1
18:1(d7) Lyso PC,LPC,TQC_1,529.398,1,184.1,1,Ion [184.100549/184.100549],6.24,1359,2894,1
18:1(d7) Lyso PC,LPC,TQC_2,529.398,1,184.1,1,Ion [184.100549/184.100549],6.24,1592,3522,1
18:1(d7) Lyso PC,LPC,TQC_3,529.398,1,184.1,1,Ion [184.100549/184.100549],6.21,1615,2784,1
18:1(d7) Lyso PC,LPC,TQC_4,529.398,1,184.1,1,Ion [184.100549/184.100549],6.24,1895,3414,1
18:1(d7) Lyso PC,LPC,TQC_5,529.398,1,184.1,1,Ion [184.100549/184.100549],6.23,691,2873,1
18:1(d7) Lyso PC,LPC,TQC_6,529.398,1,184.1,1,Ion [184.100549/184.100549],6.25,1768,3849,1
18:1(d7) Lyso PC,LPC,TQC_7,529.398,1,184.1,1,Ion [184.100549/184.100549],6.24,2019,3891,1
18:1(d7) Lyso PC,LPC,TQC_8,529.398,1,184.1,1,Ion [184.100549/184.100549],6.24,1958,3331,1
18:1(d7) Lyso PC,LPC,TQC_9,529.398,1,184.1,1,Ion [184.100549/184.100549],6.24,2426,3510,1
18:1(d7) Lyso PC,LPC,TQC_10,529.398,1,184.1,1,Ion [184.100549/184.100549],6.25,2414,3897,1
18:1(d7) Lyso PC,LPC,TQC_11,529.398,1,184.1,1,Ion [184.100549/184.100549],6.25,2238,3994,1
18:1(d7) Lyso PC,LPC,TQC_12,529.398,1,184.1,1,Ion [184.100549/184.100549],6.25,2371,3610,1
LPC 14:0,LPC,S1A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.25,22126,1428,1
LPC 14:0,LPC,S2A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.25,28497,1580,1
LPC 14:0,LPC,S3A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.22,27138,1575,1
LPC 14:0,LPC,S4A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.21,18417,1396,1
LPC 14:0,LPC,S5A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,24130,1540,1
LPC 14:0,LPC,S6A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,29301,1848,1
LPC 14:0,LPC,S7A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.23,26282,1545,1
LPC 14:0,LPC,S8A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,21445,1705,1
LPC 14:0,LPC,S9A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,26397,1653,1
LPC 14:0,LPC,S10A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.25,22157,1500,1
LPC 14:0,LPC,S11A,468.3,1,184.1,1,Ion [184.100549/184.100549],6.22,25207,1674,1
LPC 14:0,LPC,S1B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.23,73009,2312,1
LPC 14:0,LPC,S2B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.23,40757,1586,1
LPC 14:0,LPC,S3B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.23,41657,1597,1
LPC 14:0,LPC,S4B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.22,38364,2245,1
LPC 14:0,LPC,S5B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.25,41035,1513,1
LPC 14:0,LPC,S6B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.22,62841,2042,1
LPC 14:0,LPC,S7B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.22,46699,1558,1
LPC 14:0,LPC,S8B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.23,38409,1674,1
LPC 14:0,LPC,S9B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.2,37622,1624,1
LPC 14:0,LPC,S10B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.23,37360,1395,1
LPC 14:0,LPC,S11B,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,36723,2069,1
LPC 14:0,LPC,S1C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.22,15623,2034,1
LPC 14:0,LPC,S2C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.21,16324,2189,1
LPC 14:0,LPC,S3C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,15043,2167,1
LPC 14:0,LPC,S4C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,15092,2160,1
LPC 14:0,LPC,S5C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,20225,1573,1
LPC 14:0,LPC,S6C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.22,16217,1935,1
LPC 14:0,LPC,S7C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.24,21576,2219,1
LPC 14:0,LPC,S8C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.22,15613,1987,1
LPC 14:0,LPC,S9C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.25,22508,2046,1
LPC 14:0,LPC,S10C,468.3,1,184.1,1,Ion [184.100549/184.100549],6.26,23623,2516,1
