lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
TG 18:1/19:0/20:1,11.69454569,11.77431177,13.04885428,11.25631977,12.39486168,12.43409652,10.91664435,12.54437785,12.40071196,12.58442587,12.95740135,11.78793069,12.14760932,13.44140016,13.69730807,11.64470385,13.16065767,10.56799196,11.59318624,12.85101827
TG 18:0/19:0/20:3,17.11416041,16.7419087,17.33856043,15.03590222,17.49749056,17.73441702,15.89215847,17.11851868,17.020542,17.43186985,17.61285676,16.37625078,17.376859,17.68896112,17.24696983,16.31613599,17.63564826,22.68161402,15.13052298,18.0243602
TG 17:0/18:1/22:4,15.31051043,15.11982268,16.04806297,14.32827261,15.78040158,16.37838437,14.77193187,15.25160465,15.14723141,15.19512902,16.18788768,15.02001498,16.0061633,15.7602828,16.16586308,14.71531773,16.29231968,19.28216443,14.61165799,16.46902054
TG 17:0/18:1/22:5,14.57718793,14.42709396,14.5536513,14.90787056,14.18239419,14.65299943,14.09942097,14.25821296,15.12563698,14.72008239,14.88290285,14.73049433,14.53372393,14.98187308,14.1688274,13.9793509,14.74133159,19.52315474,14.31613685,15.43224685
TG 18:0/18:0/22:0,11.01403125,11.84114976,13.36329393,14.8672578,12.5709345,12.81131473,14.04162012,13.02027473,12.55666779,11.21828261,12.55751016,12.09489734,12.28843854,13.45891684,13.50943468,11.83000934,11.1072937,11.98796684,13.34331793,11.47281878
TG 18:0/18:1/22:0,12.38606826,12.16193652,14.1819685,15.2440349,13.22923505,12.73243941,14.50208351,13.10809374,13.58121103,11.48987442,12.52269287,11.99562236,13.74932595,14.01477053,13.45796854,12.98073272,12.02149396,18.3323059,14.89353178,13.40386414
TG 18:0/20:0/20:1,13.08753202,14.36940014,16.16530231,16.95905503,15.05780552,14.73204976,16.21773771,15.4825951,14.84924728,14.06342275,15.17920228,13.86027914,14.73306083,15.8942861,15.57595321,14.01181695,13.22313834,18.07838298,15.55404104,14.79579792
TG 16:0/20:4/22:6,14.39301591,13.85337497,13.70189912,14.75656225,12.98044751,14.78140115,13.85871609,13.73472518,14.52460518,13.54872249,15.56877017,14.42790934,15.17791384,14.27936693,15.04175146,14.13147667,14.0296975,16.80756092,15.15274419,15.40556727
TG 18:2/18:2/22:6,14.25446252,13.4353583,13.6959853,14.78265448,13.66252723,15.05372795,13.84604914,13.82436965,14.54172456,13.65872021,15.55256945,14.43526345,15.10989306,14.31528348,15.26744119,13.50568062,13.64321193,17.01201006,15.35735411,15.47303755
TG 18:2/18:3/22:5,15.90493271,15.799921,16.36858022,17.32078781,15.20042421,15.7988781,16.52124329,16.66104516,17.07772471,15.31067091,17.17583729,16.61425279,17.00224584,15.89258256,15.28562813,15.21780618,15.21372322,18.92328621,13.77901831,16.95804866
